epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202111,2021-03-17,371,PE,,26,state,323176,3360.59828,2245,11510,39,0.0356,9616621,True,False
202111,2021-03-15,341,PE,Abreu e Lima,2600054,city,1700,1694.13828,8,159,1,0.0935,100346,True,False
202111,2021-03-15,321,PE,Afogados da Ingazeira,2600104,city,2478,6624.9599,1,35,0,0.0141,37404,True,False
202111,2021-03-15,321,PE,Afrânio,2600203,city,578,2917.71832,0,9,0,0.0156,19810,True,False
202111,2021-03-15,326,PE,Agrestina,2600302,city,865,3451.02733,2,36,0,0.0416,25065,True,False
202111,2021-03-15,324,PE,Água Preta,2600401,city,1144,3085.05474,1,51,0,0.0446,37082,True,False
202111,2021-03-15,318,PE,Águas Belas,2600500,city,1203,2753.74262,0,26,0,0.0216,43686,True,False
202111,2021-03-15,331,PE,Alagoinha,2600609,city,443,3009.91983,0,13,0,0.0293,14718,True,False
202111,2021-03-15,349,PE,Aliança,2600708,city,444,1156.34034,4,31,0,0.0698,38397,True,False
202111,2021-03-15,331,PE,Altinho,2600807,city,744,3237.03446,1,13,0,0.0175,22984,True,False
202111,2021-03-15,334,PE,Amaraji,2600906,city,398,1740.2711,0,25,0,0.0628,22870,True,False
202111,2021-03-15,293,PE,Angelim,2601003,city,116,1033.31552,0,4,0,0.0345,11226,True,False
202111,2021-03-15,337,PE,Araçoiaba,2601052,city,276,1331.21111,6,20,0,0.0725,20733,True,False
202111,2021-03-15,317,PE,Araripina,2601102,city,4435,5226.00867,2,75,1,0.0169,84864,True,False
202111,2021-03-15,342,PE,Arcoverde,2601201,city,4281,5721.57921,8,87,1,0.0203,74822,True,False
202111,2021-03-15,309,PE,Barra de Guabiraba,2601300,city,332,2288.07719,0,12,0,0.0361,14510,True,False
202111,2021-03-15,319,PE,Barreiros,2601409,city,459,1073.33271,0,43,0,0.0937,42764,True,False
